Date,Open,High,Low,Close,Adj Close,Volume
2021-06-15,237.529999,237.809998,235.660004,236.350006,231.190796,1948300
2021-06-16,237.210007,237.279999,233.779999,235.580002,230.437607,2951700
2021-06-17,235.080002,236.270004,233.279999,233.880005,228.774719,1895600
2021-06-18,231.470001,232.889999,228.820007,229.619995,224.607697,4408200
2021-06-21,230.630005,233.229996,229.470001,232.899994,227.816116,2193000
2021-06-22,233.490005,234.860001,232.429993,233.880005,228.774719,1758300
2021-06-23,233.300003,234.449997,232.699997,233.240005,228.148697,1701500
2021-06-24,234.100006,235.160004,232.740005,233.330002,228.236725,1839800
2021-06-25,232.740005,233.410004,232.339996,232.419998,227.346588,3000100
2021-06-28,232.669998,232.750000,230.009995,231.089996,226.045624,2901700
2021-06-29,231.529999,231.710007,230.050003,230.369995,225.341354,1932100
2021-06-30,230.919998,232.250000,230.600006,230.990005,225.947815,2450700
2021-07-01,231.410004,232.399994,230.750000,232.270004,227.199860,2210500
2021-07-02,233.080002,234.110001,232.440002,233.630005,228.530197,1851500
2021-07-06,233.660004,233.899994,231.000000,232.750000,227.669388,1762700
2021-07-07,231.919998,234.990005,231.720001,234.630005,229.508347,2069400
2021-07-08,232.949997,233.830002,231.940002,232.839996,227.757416,1932600
2021-07-09,234.070007,236.229996,233.059998,235.679993,230.535431,2560500
2021-07-12,234.589996,236.240005,234.500000,235.610001,230.466949,2158600
2021-07-13,235.660004,237.470001,235.199997,236.169998,231.014725,1884600
2021-07-14,237.029999,239.050003,236.639999,237.130005,231.953781,1993200
2021-07-15,236.589996,237.389999,234.919998,236.880005,231.709244,2165800
2021-07-16,237.789993,237.880005,234.380005,234.750000,229.625732,1680900
2021-07-19,232.509995,233.320007,226.419998,229.259995,224.255569,3774900
2021-07-20,230.649994,235.520004,230.210007,234.270004,229.156219,3275600
2021-07-21,235.979996,238.110001,235.220001,235.929993,230.779968,2146600
2021-07-22,235.649994,239.690002,235.160004,238.669998,233.460159,2538300
2021-07-23,240.130005,245.050003,239.600006,242.960007,237.656525,3996400
2021-07-26,242.000000,244.570007,241.600006,243.979996,238.654251,2638400
2021-07-27,244.169998,247.050003,244.059998,246.350006,240.972534,3135200
2021-07-28,242.500000,243.800003,239.350006,241.779999,236.502274,4948500
2021-07-29,243.320007,245.199997,242.979996,244.020004,238.693390,2572300
2021-07-30,243.850006,245.410004,242.210007,242.710007,237.411987,2336800
2021-08-02,244.240005,244.679993,239.690002,240.100006,234.858948,2693900
2021-08-03,239.559998,239.949997,235.250000,236.949997,231.777695,3300000
2021-08-04,236.449997,236.600006,233.050003,234.830002,229.703964,2240600
2021-08-05,235.740005,236.809998,234.339996,236.419998,231.259277,2230500
2021-08-06,236.679993,237.139999,235.669998,236.259995,231.102783,1558600
2021-08-09,235.789993,236.070007,234.029999,234.679993,229.557236,2093100
2021-08-10,235.100006,235.100006,233.240005,233.449997,228.354095,2027500
2021-08-11,234.190002,235.940002,233.750000,235.550003,230.408264,1969100
2021-08-12,236.000000,236.759995,235.050003,236.669998,231.503830,1490800
2021-08-13,236.789993,239.000000,236.270004,238.820007,233.606903,1699700
