Date,Open,High,Low,Close,Adj Close,Volume
2008-06-16,33.740459,33.969467,32.910305,33.406490,20.053228,26747266
2008-06-17,33.511452,33.788170,33.053436,33.091602,19.864210,15808451
2008-06-18,33.091602,33.702290,33.062977,33.263359,19.967312,16413776
2008-06-19,33.225189,34.417938,33.187023,33.969467,20.391167,28315178
2008-06-20,33.778625,34.188931,33.396946,33.520992,20.121958,21629567
2008-06-23,33.597328,34.341602,33.511452,34.188931,20.522909,19792947
2008-06-24,34.131680,35.448475,33.998093,35.333969,21.210253,26481912
2008-06-25,35.066795,35.496181,34.666031,35.286259,21.181616,23204292
2008-06-26,35.114506,35.448475,34.465649,34.541985,20.734844,16760350
2008-06-27,34.646946,36.145039,34.589695,35.286259,21.181616,38082434
2008-06-30,35.286259,36.393131,35.286259,35.963741,21.588293,22680606
2008-07-01,35.696564,36.956108,35.629772,36.603054,21.972065,24465350
2008-07-02,37.089695,37.118320,36.211830,36.297710,21.788769,18647483
2008-07-03,36.526718,36.927483,36.526718,36.688931,22.023613,11196727
2008-07-07,35.868320,36.250000,34.551525,34.923664,20.963951,34836358
2008-07-08,35.066795,35.715649,35.057251,35.276718,21.175886,26804382
2008-07-09,35.400764,36.154579,35.267178,35.362595,21.227438,21444490
2008-07-10,35.438931,36.020992,34.656490,35.305344,21.193075,16704910
2008-07-11,34.971375,35.295803,34.437023,35.066795,21.049871,15066048
2008-07-14,35.124046,35.648853,34.990459,35.181297,21.118607,10522549
2008-07-15,34.952290,35.438931,34.675571,34.904579,20.952503,19261087
2008-07-16,34.694656,35.305344,34.541985,34.952290,20.981138,19624114
2008-07-17,34.866413,35.267178,34.389313,35.267178,21.170158,17984099
2008-07-18,35.419846,35.963741,34.923664,35.954197,21.582561,19737508
2008-07-21,35.572517,36.583969,33.177483,33.711830,20.236517,59019378
2008-07-22,30.868320,31.364504,29.723282,29.895039,17.945377,81811596
2008-07-23,30.238550,30.839695,29.780535,30.314884,18.197403,33357002
2008-07-24,30.696566,31.507633,30.162214,30.744274,18.455154,26514086
2008-07-25,30.887405,31.488550,30.877863,31.183207,18.718637,14460933
2008-07-28,31.183207,31.183207,30.486641,30.591602,18.363512,14052108
2008-07-29,30.610687,30.982824,30.114504,30.925573,18.563986,13714966
2008-07-30,30.973282,31.927481,30.916031,31.459925,18.884745,16576006
2008-07-31,31.374046,32.261452,31.297710,31.393129,18.844646,18484519
2008-08-01,31.574427,32.061069,31.240458,31.736641,19.050854,21520680
2008-08-04,31.784351,32.185116,31.440840,31.870230,19.131042,17054942
2008-08-05,31.956106,33.196564,31.956106,33.110687,19.875664,16830880
2008-08-06,33.053436,33.931297,32.919846,33.683205,20.219332,14446261
2008-08-07,33.454197,34.246181,33.158398,33.282444,19.978764,17830672
2008-08-08,33.311069,34.389313,33.024811,34.303436,20.591646,14812432
2008-08-11,34.198475,34.303436,33.988548,34.265266,20.568733,13773864
2008-08-12,33.969467,34.675571,33.969467,34.513359,20.717657,12185620
2008-08-13,34.255726,35.047710,34.055344,34.103054,20.471359,12596122
2008-08-14,33.988548,34.589695,33.645039,34.293892,20.585917,11555877
2008-08-15,34.408398,34.971375,34.408398,34.503819,20.711929,9323532
2008-08-18,34.637405,34.828243,33.874046,34.074429,20.454180,8298064
2008-08-19,33.845421,34.055344,33.396946,33.635494,20.190697,10759921
2008-08-20,33.635494,33.807251,33.110687,33.339695,20.013138,10150614
2008-08-21,33.263359,33.387405,32.585876,33.225189,19.944393,14778582
2008-08-22,33.396946,33.883587,33.158398,33.654579,20.202152,10114038
2008-08-25,33.559158,33.702290,32.977100,33.396946,20.047503,11772708
2008-08-26,33.377865,34.227100,33.253819,33.797710,20.288067,13519410
2008-08-27,33.797710,34.227100,33.406490,34.093510,20.465630,8385258
2008-08-28,34.265266,34.895039,34.246181,34.732822,20.849398,9808546
2008-08-29,34.646946,34.666031,33.883587,34.036259,20.431265,12124417
2008-09-02,33.988548,34.427483,32.843510,33.234734,19.950127,18179132
2008-09-03,33.206108,33.272900,32.500000,33.082062,20.077528,9457781
2008-09-04,32.881680,33.234734,32.519085,32.604961,19.787973,14468374
2008-09-05,32.309158,32.795803,32.051525,32.729008,19.863260,16092774
2008-09-08,33.358780,33.893131,32.938931,33.854961,20.546606,17110277
2008-09-09,33.874046,34.208015,32.738548,32.767178,19.886427,15416290
2008-09-10,32.853054,32.910305,31.746183,31.984734,19.411556,18333083
2008-09-11,31.603052,32.538170,31.603052,32.433205,19.683731,17416607
2008-09-12,32.261452,32.681297,32.003819,32.270992,19.585285,11515005
2008-09-15,31.593512,32.299618,31.211832,31.221375,18.948278,16216123
2008-09-16,30.791985,31.278625,30.066793,30.801527,18.693470,22961994
