Date,Open,High,Low,Close,Adj Close,Volume
2008-06-16,47.480000,48.700001,47.040001,48.200001,34.045845,2208700
2008-06-17,48.389999,48.669998,47.250000,47.250000,33.374805,2587800
2008-06-18,46.959999,47.540001,46.389999,46.700001,32.986328,2733600
2008-06-19,46.770000,47.040001,46.070000,46.419998,32.788540,3868100
2008-06-20,46.299999,46.299999,45.430000,45.630001,32.230537,6858700
2008-06-23,45.919998,46.099998,44.770000,44.840000,31.672523,4071000
2008-06-24,44.840000,45.470001,44.470001,44.939999,31.743151,4286400
2008-06-25,45.790001,45.790001,44.830002,44.970001,31.764355,3993500
2008-06-26,44.450001,45.040001,44.099998,44.110001,31.156895,4451800
2008-06-27,44.259998,44.730000,44.020000,44.299999,31.291096,4964200
2008-06-30,44.270000,44.450001,43.290001,43.400002,30.655396,6935700
2008-07-01,43.200001,44.570000,43.139999,44.439999,31.389978,4573300
2008-07-02,44.680000,44.939999,44.020000,44.080002,31.135696,6934700
2008-07-03,44.369999,44.790001,44.209999,44.340000,31.319344,2541000
2008-07-07,44.490002,45.020000,43.009998,43.279999,30.570620,5100700
2008-07-08,43.220001,44.990002,42.770000,44.610001,31.510061,4949900
2008-07-09,44.580002,44.770000,43.439999,43.500000,30.726021,4596500
2008-07-10,43.549999,44.639999,43.419998,43.799999,30.937922,4710300
2008-07-11,43.410000,44.680000,42.919998,44.119999,31.163960,5106500
2008-07-14,44.570000,44.919998,42.270000,42.480000,30.005560,5065900
2008-07-15,42.080002,43.439999,41.470001,41.490002,29.306265,5471000
2008-07-16,41.810001,43.860001,41.259998,43.700001,30.867289,5729800
2008-07-17,44.520000,45.000000,42.110001,43.240002,30.542379,7081500
2008-07-18,43.189999,44.189999,41.540001,43.950001,31.043879,5108000
2008-07-21,43.500000,43.959999,42.830002,43.080002,30.429356,3664100
2008-07-22,43.000000,44.990002,42.000000,44.660000,31.545374,5474200
2008-07-23,44.220001,46.349998,44.009998,45.599998,32.209339,7249500
2008-07-24,45.650002,45.849998,42.740002,42.880001,30.288080,5196000
2008-07-25,43.299999,43.570000,42.009998,42.330002,29.899605,3886600
2008-07-28,42.250000,43.130001,42.000000,42.099998,29.737139,4031300
2008-07-29,42.209999,43.389999,41.869999,43.299999,30.584738,5594700
2008-07-30,43.790001,45.250000,43.590000,44.459999,31.404110,4300700
2008-07-31,44.090000,44.740002,43.900002,44.119999,31.163960,4190500
2008-08-01,44.240002,44.509998,43.410000,44.060001,31.121576,2999000
2008-08-04,43.900002,44.709999,43.759998,44.360001,31.333483,3203000
2008-08-05,44.799999,44.889999,44.119999,44.840000,31.672523,5081600
2008-08-06,44.619999,44.720001,44.299999,44.459999,31.404110,4167400
2008-08-07,44.130001,44.410000,42.860001,43.099998,30.443481,4142700
2008-08-08,43.009998,44.509998,42.709999,44.389999,31.354660,2922000
2008-08-11,44.369999,44.660000,43.660000,44.139999,31.178085,3019800
2008-08-12,43.439999,44.080002,43.230000,43.520000,30.740147,3486800
2008-08-13,43.189999,43.660000,42.290001,43.119999,30.457602,3196100
2008-08-14,42.689999,43.860001,42.599998,43.520000,30.740147,2724300
2008-08-15,43.560001,44.580002,43.410000,44.459999,31.404110,2947900
2008-08-18,44.529999,44.529999,43.090000,43.230000,30.535301,3209400
2008-08-19,42.689999,43.520000,42.330002,42.720001,30.175074,5277200
2008-08-20,42.590000,43.020000,41.950001,42.880001,30.288080,3063700
2008-08-21,42.599998,43.139999,42.020000,42.740002,30.189199,2626300
2008-08-22,42.840000,44.349998,42.830002,44.310001,31.298168,3757000
2008-08-25,44.040001,44.200001,43.700001,43.790001,30.930843,3984600
2008-08-26,43.580002,43.900002,42.660000,43.240002,30.542379,3457000
2008-08-27,43.299999,43.759998,42.950001,43.630001,30.817842,2671900
2008-08-28,44.029999,44.560001,43.689999,44.549999,31.467686,3574500
2008-08-29,43.900002,44.570000,43.860001,44.160000,31.192198,3552000
2008-09-02,44.820000,45.160000,44.080002,44.529999,31.453562,3519400
2008-09-03,44.389999,44.730000,44.009998,44.570000,31.481817,3182800
2008-09-04,44.189999,44.529999,42.599998,42.689999,30.153873,4132900
2008-09-05,42.099998,43.340000,42.009998,43.279999,30.570620,4190500
2008-09-08,44.310001,45.480000,43.400002,44.700001,31.794020,6967300
2008-09-09,44.270000,44.849998,43.480000,43.480000,30.926262,6557200
2008-09-10,44.230000,45.040001,42.990002,44.200001,31.438385,4783900
2008-09-11,42.880001,44.790001,42.840000,44.610001,31.730003,5654000
2008-09-12,43.990002,45.560001,43.980000,45.049999,32.042973,4657100
2008-09-15,43.889999,47.500000,43.509998,43.700001,31.082733,9824700
2008-09-16,44.299999,49.799999,43.880001,48.860001,34.752911,12692200
2008-09-17,48.959999,51.000000,45.009998,45.009998,32.014515,13185700
2008-09-18,46.759998,50.799999,45.080002,50.799999,36.132797,11526600
2008-09-19,56.540001,58.570000,47.340000,50.759998,36.104340,8436300
2008-09-22,50.250000,50.950001,44.980000,46.529999,33.095646,5526200
2008-09-23,46.529999,48.200001,45.000000,45.619999,32.448391,4142200
2008-09-24,45.630001,47.849998,43.500000,44.180000,31.424164,3856500
2008-09-25,44.459999,48.259998,43.310001,45.090000,32.071404,3959600
2008-09-26,44.000000,45.810001,43.360001,44.000000,31.296124,3919100
2008-09-29,43.299999,43.669998,36.000000,36.000000,25.605919,6793900
2008-09-30,39.400002,46.000000,38.740002,45.200001,32.149662,6945100
2008-10-01,43.439999,45.689999,41.160000,42.990002,30.577734,4979300
2008-10-02,43.750000,43.810001,40.250000,40.470001,28.785324,3537400
2008-10-03,42.680000,43.169998,38.529999,38.799999,27.597483,4110300
2008-10-06,38.410000,41.000000,36.919998,39.099998,27.810869,5004100
2008-10-07,39.200001,42.000000,35.099998,35.099998,24.965775,5457700
2008-10-08,33.880001,42.000000,32.669998,32.669998,23.237366,10253100
2008-10-09,33.049999,35.259998,30.600000,30.600000,21.765032,10009000
2008-10-10,29.680000,34.669998,28.910000,30.500000,21.693911,11197600
2008-10-13,32.599998,37.060001,32.250000,35.900002,25.534788,7885800
2008-10-14,37.720001,38.750000,35.049999,36.959999,26.288748,9483700
2008-10-15,36.020000,36.799999,32.500000,33.700001,23.969980,6907400
2008-10-16,33.880001,34.730000,31.170000,33.250000,23.649914,10533800
2008-10-17,32.660000,36.099998,32.320000,34.029999,24.204699,6165100
2008-10-20,33.930000,36.320000,33.000000,36.150002,25.712614,4624100
2008-10-21,35.939999,38.000000,32.950001,36.330002,25.840639,4251900
2008-10-22,33.910000,38.529999,33.880001,37.020000,26.331419,7803200
2008-10-23,37.020000,41.669998,37.009998,41.000000,29.162310,10682400
2008-10-24,37.299999,42.750000,36.529999,41.740002,29.688641,10016900
2008-10-27,41.160000,41.160000,37.470001,37.610001,26.751078,7217600
2008-10-28,38.500000,39.599998,36.529999,38.790001,27.590384,9729800
2008-10-29,38.549999,42.849998,37.889999,40.349998,28.699982,10791100
2008-10-30,41.770000,42.240002,40.029999,41.150002,29.268980,6176500
2008-10-31,40.910000,42.900002,39.240002,42.549999,30.264772,5722800
2008-11-03,42.680000,42.680000,40.389999,40.549999,28.842222,3809700
2008-11-04,40.549999,42.869999,40.250000,42.599998,30.300339,5578500
2008-11-05,41.930000,42.700001,39.959999,40.430000,28.756884,5004800
2008-11-06,40.430000,41.450001,37.040001,37.700001,26.815104,5833800
2008-11-07,38.009998,39.990002,37.520000,39.610001,28.173620,4263600
2008-11-10,38.919998,40.570000,38.360001,38.810001,27.604593,3893000
2008-11-11,38.529999,41.080002,37.070000,40.169998,28.571928,5431400
2008-11-12,39.330002,40.810001,38.599998,39.029999,27.761089,5798700
2008-11-13,39.220001,43.529999,39.029999,43.419998,30.883593,9045500
2008-11-14,42.970001,44.029999,41.130001,41.880001,29.788235,6644800
2008-11-17,41.400002,42.380001,40.630001,41.070000,29.212090,4449600
2008-11-18,41.189999,41.730000,40.160000,41.389999,29.439707,8534400
2008-11-19,40.790001,42.160000,36.419998,37.290001,26.523468,8045000
2008-11-20,37.299999,37.299999,33.970001,34.840000,24.780842,14078000
2008-11-21,35.959999,38.950001,33.849998,38.770000,27.576153,9927000
2008-11-24,39.099998,40.930000,37.639999,40.619999,28.892017,9030500
2008-11-25,41.410000,41.610001,38.520000,40.450001,28.771103,7646000
2008-11-26,40.000000,43.080002,39.500000,42.779999,30.428360,5813700
2008-11-28,42.869999,43.799999,42.389999,43.650002,31.047167,2729800
2008-12-01,41.860001,43.470001,36.770000,37.009998,26.324308,6972700
2008-12-02,37.900002,41.000000,37.380001,40.160000,28.564823,6918300
2008-12-03,38.970001,41.090000,38.230000,40.220001,28.607500,6426500
2008-12-04,39.250000,41.160000,38.169998,38.820000,27.611721,6650800
2008-12-05,38.250000,43.480000,38.250000,43.410000,30.876474,8362900
2008-12-08,44.580002,44.650002,42.290001,43.770000,31.349178,5613600
2008-12-09,43.930000,44.439999,41.669998,42.169998,30.203224,4700500
2008-12-10,42.590000,42.590000,39.860001,40.590000,29.071585,4253300
2008-12-11,40.160000,41.669998,38.250000,39.060001,27.975754,5457500
2008-12-12,38.500000,40.919998,37.200001,40.580002,29.064426,4878100
2008-12-15,40.410000,40.599998,39.439999,40.049999,28.684820,4407800
2008-12-16,40.680000,44.540001,40.630001,44.450001,31.836227,6097100
2008-12-17,43.009998,45.110001,42.509998,42.730000,30.604309,5117600
2008-12-18,41.290001,43.779999,41.150002,42.770000,30.632963,5348100
2008-12-19,44.230000,44.299999,42.810001,42.840000,30.683092,5096700
